queryType,question,answer
Government Schemes,DBT and Pm Kisan related Problem,Find complete information by contacting at 0 612 -2233 555 for resolving the problems of DBT and PM farmer's honor fund scheme 
Government Schemes,Pradhan Mantri KIsan Samman Nidhi Yojna,You contact Basuda / Saha Kendra. https://dbtagriculture.bihar.gov.in Application using this website and check the status of the application 
"	Plant Protection	",plant protection related to query,Mixed in the # 2 gram per liter of water and sprinkle! 
Government Schemes,Cooperative department of Maharashtra helpline no.,"Cooperative Department's Help Line No. - 0612-2200693, 1800-345-6290 "
Government Schemes,"Pradhan Mantri Kisan Samman Nidhi Yojana related query
",Aadhar status: aadhar number is not verified  You contact Vasudha center 
Government Schemes,Pradhan Mantri Kisan Samman Nidhi Yojna related query,"Contact the Prime Minister Farmer Honor Fund Scheme's Help Line Number: - 011-23382401, 011-23381092. From 10 am to 5 o'clock (from Monday to Friday "
Government Schemes,GOVERMENT SCHEME RELATED QUERY,"Farmer Brother, contact the Agriculture Coordinator "
Seeds and Planting Material,seed and planting material,"-: Agricultural Science Center, Sivan  Bhagwanpur Hat, Sivan,  Dist - Sivan - 841408, (Bihar) India "
Government Schemes,"TELL ME HELPLINE NUMBER OF PMKISAN SAMMAN NIDHI YOJNA ?
","Ramdular Kushwaha, your application enabled authority has been forwarded to verification from Panchayat level (zone officer). "
Government Schemes,Pradhan Mantri KIsan Samman Nidhi Yojna related query,Update the name of the village of farmer registration 
Government Schemes,For information about the Prime Minister Kisan Samman Nidhi Scheme (Money not getting),"PM-Kisan Helpline No.011-24300606 / 0120-6025109 For information about the Prime Minister Kisan Fund Scheme - 011-23381092 / 011-24300606 Or you wait until the amount of Prime Minister's Honor Fund Scheme Or contact toll free number- 1800115526, 155261 while e-mail id (PMKisan-hqrs@gov.in). https://pmkisan.gov.in/beneficiarystatus.aspx "
Government Schemes,Government Subsidy Related query,"- DBT, contact the problem of seed grant scheme at 0612-2233555 for resolving "
Government Schemes,Government Subsidy Related query,Contact the agricultural coordinator. 
Government Schemes,Input subsidy money has not come,"If your input subsidy has not yet been received, you can contact your Agriculture Coordinator or District Agriculture Officer and get information about input subsidy. "
Government Schemes,PM KISAN SAMMAN NIDHI YOJNA RELATED QUERY,"Kisan Bhai Prime Minister Kisan Honor Wait till the money  . Prime Minister Kisan Honor Fund Scheme Help Line No. - 01123381092, 011-24300606 "
Government Schemes,"Check Application Status for PM-KISAN(Reconsider)
",#NAME?
Nutrient Management,nutrient management  in wheat,N: P: K 19:19:19 - 100 grams will spray in 15 liters of water. 
Government Schemes,P M Kisan samman nidhi yojna,- Farmer Honor Fund Scheme Helpline Number - 0113382401/011 23381092 
Crop Insurance,crop insurance related query,#NAME?
"	Plant Protection	",PLANT PROTECTION RELATED QUERY,InCoseb - Spray and spray with two grams per liter. 
Vegetative Propagation and Tissue Culture,Sowing time related query,Farmer Bhai You can sow the harvest crop from February 15 to March 
Government Schemes,INPUT SUBSIDY RELATED QUERY,Farmer Brother Check you the status of the application  https://dbtagriculture.bihar.gov.in/ 
Government Schemes,Information about Prime Minister Kisan Samman Nidhi Scheme,"Help Line Number of Prime Minister Agriculture Fund Scheme: - 011-23381092,0112315526. "
Government Schemes,Pradhan Mantri Kisan Samman Nidhi Yojna related query,"Application ID: Re-PMKISAN539568 Applicant Name: Rinki Kumari  Rinki Kumari, your application has been canceled by the district agricultural office bearer. Remark: Applicant is not eligible for scheme "
Government Schemes,"Check Application Status for PM-KISAN
",Rinki Kumari Your application has been canceled by the Panchayat level by the enabled authority. Remark: No Farming 
"	Plant Protection	",nilgai related query,5 liters whey to get spoiled shade whey is to spray all around the farm. 
"	Plant Protection	",PLANT PROTECTION RELATED QUERY,It will be a smelling around at least 6 days 
"	Plant Protection	",plant plant of potato crop,"In the first spraying, the insophil M-45, in the second spraying, sprayed the Blitox and third spraying in the second spraying and sprayed the redomel for 2.5 gram / liters of water in the third spraying. "
Nursery Management,nursery management of cauliflower crop,To make cauliflower seeds you will have to leave the crop in the same way 
Government Schemes,PRADHAN MANTRI KISAN SAMAN NIDHI YOJANA RELATED QUERY,Contact the agricultural coordinator. 
Government Schemes,pm kisan samman nidhi yojna,"Application ID: Re-PMKISAN647198 Applicant Name: Sanjida Praveen  Sanjida Praveen, your application is pending near the district agricultural office. "
"	Plant Protection	",plant protection related query,Wire - 5 ml make a solution with water per liter 
Government Schemes,"Check Application Status for PM-KISAN
",#NAME?
Government Schemes,For information about the Prime Minister Kisan Samman Nidhi Scheme (Money not getting),"PM-Kisan Helpline No.011-24300606 / 0120-6025109 For information about the Prime Minister Kisan Fund Scheme - 011-23381092 / 011-24300606 Or you wait until the amount of Prime Minister's Honor Fund Scheme Or contact toll free number- 1800115526, 155261 while e-mail id (PMKisan-hqrs@gov.in). https://pmkisan.gov.in/beneficiarystatus.aspx "
Training and Exposure Visits,"
 TELL ME PM KISAN REGISTRATION STATUS   INFORMATION   ?
","Kailash Yadav, your application is pending with ADM (Revenue).  For more information about the PM farmer's fund scheme, please contact the Nodal Officer in your block "
Government Schemes,"TELL ME PM KISAN REGISTRATION STATUS   INFORMATION   ?
","Pir Mohammad Saifi, your application enabled authority has been forwarded to verification from Panchayat level (zonal officer). "
Government Schemes,Pradhan Mantri Kisan Samman Nidhi Yojna related query,"- Help Minister Agriculture Honor Fund Scheme of Help Line Number: - 011-23381092,011-23382401 "
"	Plant Protection	",plant protection query,Spray in 15 days interval by slurry in 3 liters of immidaculoroprid 1 ml 
Government Schemes,Cooperative dept of Bihar helpline number,"http://cooperative.bih.nic.in For Any Technical Question in Filling Form Contact Kisanreghelp@gmail.com or Mr. Nitin at M-8877225693 Toll Free No. 1800-345-6290, 0612-2200693 "
Government Schemes,PM KISAN SAMMAN NIDHI YOJNA RELATED QUERY,"- Halp line number - 011-23381092, 011-24300606 "
Government Schemes,PM KISAN SAMMAN NIDHI YOJNA RELATED QUERY,"- Halp line number - 011-23381092, 011-24300606 "
Government Schemes,PM KISAN SAMMAN NIDHI YOJNA RELATED QUERY,#NAME?
Government Schemes,"FARMER ASKING ABOUT PM KISAN SAMMAN NIDHI SCHEME?
",PM farmer has to be the name of the documents of farming to take advantage of the Fund Scheme. 
Government Schemes,"FARMER ASKING ABOUT PM KISAN SAMMAN NIDHI SCHEME?
",PM farmer has to be the name of the documents of farming to take advantage of the Fund Scheme. 
Government Schemes,pm kisan samman nidhi yojna,- The Prime Minister Kisan Honor Negative Center No. 011-3381092 OR 1800115526 Or 011-24300606 at 10 o'clock at 10 o'clock at 10 o'clock on Saturday at 10 o'clock. 
"	Plant Protection	",plant protection query,You should spray 2 grams per liter of water in 63% and 12% carbendajim. 
Government Schemes,Query about government  schemes,Hatap: //tabrichalchar. Bihar. Gov.in/ 
Government Schemes,Pradhan Mantri Kisan Samman Nidhi Yojna related query,"Banti Kumar, your application has been forwarded to verify the district level ADM (Revenue) from the zonal official level. "
Government Schemes,Pradhan Mantri Kisan Samman Nidhi Yojna related query,It will be necessary to return the amount received by unqualified farmers so far.  To return the amount to https://bharatkosh.gov.in Portal or contact the related agricultural coordinator / district agricultural office bearer / bank branch. 
Nutrient Management,nutrient management related,One kg urea should be used according to the kacha 
Government Schemes,cooperative department related to query,"- Cooperative Department Helpline Number -18003456290,06122200693 "
Government Schemes,CROP INSURANCE SCHEME RELATED QUERY,"Hello number (0612) -2200693, 1800-345-6290, 1800-345-6290, Can see at .nic.in / i "
Government Schemes,krishi input anudan related  query,#NAME?
Government Schemes,kisan registration related  query,Comprocate to Common Service Center / Basuda Center  You can contact Block Agriculture Coordinator 
"	Plant Protection	",First spray in mango before flowering,"Before the first spraying in mango, one is done with a recommended insecticide. The first spraying is done in such a way that the insecticides reached hidden insects in the cracks of the tree bark because it is increasing its number with the increase in the temperature of the atmosphere.

Splatter mixed with soluble sulfur 3 grams per liter.

Pesticide Imidaclop Sprinkle 17.8 SL @ 1 ml / 3 liters of water and stickers. "
Government Schemes,KCC RELATED QUERY,Contact Agriculture Field Officer / Branch Manager in Bank 
Government Schemes,Check Status of Input Subsidy,To check the status of the application of Sun input subsidy www.dbtagriculture.bihar.gov.in See on this website 
"	Plant Protection	",mango plant protection,#NAME?
Government Schemes,Query ABOUT Pradhan Mantri KIsan SAmman Nidhi Yojna Help LINE number Help line number,"Prime Minister Kisan Honor Fund Scheme Help Help Line No. 01124300606, 01123381092 Email: pmkisan-ict@gov.in "
Government Schemes,"Query ABOUT Pradhan Mantri KIsan SAmman Nidhi Yojna Help LINE number Help line number
","Prime Minister Kisan Honor Fund Scheme Help Help Line No. 01124300606, 01123381092 Email: pmkisan-ict@gov.in "
Government Schemes,Dbt kisan registration related Query,Use 0612 2233555 for technical problem in farmers registration. 
Government Schemes,Krishi input anudan (KHARIF) related query,- Contact your farmer consultant for the input grant Contact the District Agriculture Officer for Agricultural Input Grant 0612 2233555 
Cultural Practices,TELL ME ABOUT INFORMATION POTATO DIGGING REGARDING  ?,"The excavation of potatoes is the best time from the mid-February to the middle March II, the 30 degree centigrade should be digested before the temperature should be digested, it is necessary for it to be open weather. "
Government Schemes,"TELL ME CONTACT NUMBER OF DBT PORTAL   BIHAR SATE INFORMATION ?
",- Contact number for information about DBT portal of Bihar State = 0612 - 2233 555 
Government Schemes,"TELL ME ABOUT INFORMATION OF DBT BIHAR SCHEME  RELATED  ?
","For information about the schemes running from the Bihar government, you call 1800 180 1551 from the local number of Bihar so that you can get the Bihar farming call center and you get the proper information about your area. "
"	Plant Protection	",PLANT PROTECTION RELATED QUERY,Spray 2 gram drug according to liters of water on sunlight 
Government Schemes,want to know about Input subsidy status money not getting,"For information of input subsidy, you should contact agricultural coordinator or block agricultural office bearer "
Weather,Farmer asked query on Weather,"Weather Forecast Name of the district Siwan and Block Darouli maximum temperature 20 -22, minimum 7 -9 degree Celsius are unlikely in the coming days, the wind speed is likely to run at 4 -5 km per hour. "
Government Schemes,#NAME?,"-Pm Kisan Samman Nidhi Scheme  Help line number  01124300606  - PM Farmer Help Line Number: - 013381092,011-23381092,011-23382401  Email: pmkisan-hqrs@gov.in "
Cattle shed Planning and Management,ANIMAL HUSBANDRY RELATED QUERY,- Pushing Department Helpline Number: -0612-2230942 
Government Schemes,Government Subsidy Related query,"Contact the problem of DBT, agricultural input grant at 0612-2233555 "
Government Schemes,cooperative department related to query,"Cooperative Department Helpline Number-18003456290,06122200693 "
Weather,Farmer asked query on Weather,"Weather Forecast, District - Siwan Block - Goriakothi. Kisan Brother will be partially cloudy in your district this week, but the possibility of rain is very low and during this time the maximum temperature is 24-25 ° C and the minimum temperature 9-11 degrees Celsius and air speed approximately 7-10 kilometers per hour There is a possibility of walking) "
Government Schemes,Pradhan Mantri Kisan Samman Nidhi Yojna related query,"A few rules have been made to take advantage of the farmer's brother Prime Minister's Honor Fund Scheme, if the land can apply for the farmer's brother's plan, whose name is not land can not take advantage of the scheme. "
Government Schemes,Fasal Bima Yojna or cooperative Department contact details,"-  http://cooperative.bih.nic.in  For information related information, you should contact the block cooperative office.  For any technical question to fill Fasal Bima Yojna-form, contact Kisanreghelp@gmail.com or Mr. Nitin at M-8877225693 Toll Free No. 18"
Weather,Farmer asked query on Weather,"Weather forecast in District, Sivan and Bhagwanpur block, there is no possibility of heavy rain in the next 5 days. Today required maximum temperature (15 ° C and minimum temperature 06 ° C) and wind speed is likely to run 09 km / hour "
"	Plant Protection	",PLANT PROTECTION RELATED QUERY,Make a box - two grams per liter and make a slurry. 
Government Schemes,Government Subsidy Related query,Contact the agricultural coordinator. 
Government Schemes,"Government Subsidy Related query
","Contact the problem of DBT, agricultural input grant at 0612-2233555 "
Government Schemes,"Check Application Status for PM-KISAN
","Banti Kumar, the headquarter level has been forwarded to verification from your application ADM (Revenue). "
"	Plant Protection	",PLANT PROTECTION RELATED QUERY,1 liter of water is sprayed by making a solution of urea in 5 grams 
"	Plant Protection	",okra cultural practices related query,Spray the immigraphoprid in 1 ml / 3 liters of water 
"	Plant Protection	",PRADHAN MANTRI KISAN SAMAN NIDHI YOJANA RELATED QUERY,"Pradhan Mantri Kisan Saman Nidhi Yojana Related Query  Prime Minister Kisan Honor Fund Scheme HELP LINE No - -01123381092,01123382401, 011-24300606  pmkisan-ict@gov.in "
"	Plant Protection	",PLANT PROTECTION RELATED QUERY,Planter 1 ml / 4 liters spray 
